Skill,course_title,course_url
collect biological data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
collect broken appliances,Google Business Intelligence,https://www.coursera.org/professional-certificates/google-business-intelligence
collect customer data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
collect cyber defence data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
collect data using GPS,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
collect industrial waste,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
collect mapping data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
collect real-time geolocation information,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
collect weather-related data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
collection management software,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
colour grade images with digital intermediate,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
communicate on the environmental impact of mining,Data Mining,https://www.coursera.org/specializations/data-mining
communicate using the global maritime distress and safety system,Transformation of the Global Food System,https://www.coursera.org/learn/transformation-global-food-system
compare alternative vehicles,Electric Vehicles and Mobility,https://www.coursera.org/learn/electric-vehicles-mobility
compare survey computations,Survey Data Collection and Analytics,https://www.coursera.org/specializations/data-collection
compile GIS-data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
compile data for navigation publications,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
computational biology,Genomic Data Science,https://www.coursera.org/specializations/genomic-data-science
computational chemistry,Introduction to Molecular Spectroscopy,https://www.coursera.org/learn/spectroscopy
computational fluid dynamics,Applied Computational Fluid Dynamics,https://www.coursera.org/learn/applied-computational-fluid-dynamics
computational linguistics,Natural Language Processing,https://www.coursera.org/specializations/natural-language-processing
computational mechanics,Computational Thinking for Problem Solving,https://www.coursera.org/learn/computational-thinking-problem-solving
computer engineering,Introduction to Software Engineering,https://www.coursera.org/learn/introduction-to-software-engineering
computer equipment,The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking
computer forensics,Computer Forensics,https://www.coursera.org/specializations/computerforensics
computer graphics,Interactive Computer Graphics,https://www.coursera.org/learn/interactive-computer-graphics
computer history,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://www.coursera.org/learn/build-a-computer
computer programming,"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai
computer science,Introduction to Computer Science and Programming,https://www.coursera.org/specializations/introduction-computer-science-programming
computer simulation,Simulation and modeling of natural processes,https://www.coursera.org/learn/modeling-simulation-natural-processes
computer technology,Introduction to Computers,https://www.coursera.org/learn/introduction-to-computers
computer vision,Introduction to Computer Vision and Image Processing,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv
computerised feeding systems,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
concepts of telecommunications,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
conduct ICT code review,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
conduct airport environmental studies,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
conduct analysis of ship data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
conduct clinical software research,Clinical Trials: Good Clinical Practice,https://www.coursera.org/specializations/clinical-trials-good-clinical-practice
conduct ecological research,Conduct UX Research and Test Early Concepts,https://www.coursera.org/learn/conduct-ux-research
conduct ecological surveys,AI Foundations for Everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone
conduct energy audit,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
conduct environmental site assessments,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
conduct environmental surveys,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
conduct erosion control,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
conduct impact evaluation of ICT processes on business,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
conduct mobile marketing,Meta Social Media Marketing,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
conduct radiotherapy computer planning,Deep Learning,https://www.coursera.org/specializations/deep-learning
conduct reforestation surveys,AI Foundations for Everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone
conduct research on climate processes,Methods and Statistics in Social Sciences,https://www.coursera.org/specializations/social-science
conduct research on fauna,Market Research,https://www.coursera.org/specializations/market-research
conduct research on flora,Market Research,https://www.coursera.org/specializations/market-research
conduct research on food waste prevention,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
conduct search engine optimisation,Search Engine Optimization (SEO),https://www.coursera.org/specializations/seo
conduct sediment control,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
conduct threat intelligence,IBM Cybersecurity Analyst,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
conduct video telemetry,The Art of Visual Storytelling,https://www.coursera.org/specializations/the-art-of-visual-storytelling
conduct web searches,Meta Front-End Developer,https://www.coursera.org/professional-certificates/meta-front-end-developer
configuration of the tote room hardware,Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
configure ICT system,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
configure media integration systems,Meta Social Media Marketing,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
conservation agriculture,"Agriculture, Economics and Nature",https://www.coursera.org/learn/agriculture-economics-nature
conserve forests,Agroforestry,https://www.coursera.org/specializations/agroforestry-all
conserve natural resources,Natural Language Processing,https://www.coursera.org/specializations/natural-language-processing
conserve new media,Meta Social Media Marketing,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
conserve water resource,Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management
consumer electronics,Plastic electronics,https://www.coursera.org/learn/plastic-electronics
content development processes,Adobe Content Creator,https://www.coursera.org/professional-certificates/adobe-content-creator
contribute to development of biometric systems,FPGA Design for Embedded Systems,https://www.coursera.org/specializations/fpga-design
control engineering,Control Systems Analysis: Modeling of Dynamic Systems,https://www.coursera.org/learn/modeling-feedback-systems
control objectives for information and related technology,"Information Systems Auditing, Controls and Assurance",https://www.coursera.org/learn/information-systems-audit
control panel components,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
control production flow remotely,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
control systems,Control Systems Analysis: Modeling of Dynamic Systems,https://www.coursera.org/learn/modeling-feedback-systems
convert different audiovisual formats,Introducción a la producción audiovisual,https://www.coursera.org/learn/intro-produccion-audiovisual
convert into animated object,Object Oriented Programming in Java,https://www.coursera.org/specializations/object-oriented-programming
convert scribbles into virtual sketches,Virtual Reality,https://www.coursera.org/specializations/virtual-reality
coordinate airport environmental policies,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
coordinate audio system programmes,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,https://www.coursera.org/learn/audio-engineering
coordinate electricity generation,Genomic Data Science,https://www.coursera.org/specializations/genomic-data-science
coordinate environmental efforts,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
coordinate forestry research,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
coordinate greenhouse environment,Python for Everybody,https://www.coursera.org/specializations/python
coordinate sewage sludge handling,Introduction to Faecal Sludge Management,https://www.coursera.org/learn/faecalsludge
coordinate shipments of recycling materials,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories",https://www.coursera.org/learn/materials-structures
coordinate shipments of waste materials,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
coordinate the allocation of Mode S radars to Interrogator Codes,The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being
coordinate waste management procedures,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
core banking software,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
corporate social responsibility,Global sustainability and corporate social responsibility: Be sustainable,https://www.coursera.org/learn/global-sustainability-be-sustainable
corporate sustainability,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,https://www.coursera.org/learn/corp-sustainability
create 2D painting,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create 3D CAD footwear prototypes,3D CAD Fundamental,https://www.coursera.org/learn/3d-cad-fundamental
create 3D characters,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
create 3D environments,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
create 3D texture map,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
create CAD drawings,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create GIS reports,Geographic Information Systems (GIS),https://www.coursera.org/specializations/gis
create SCORM packages,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create a crowdfunding campaign,Crowdfunding,https://www.coursera.org/learn/wharton-crowdfunding
create a product's virtual model,Virtual Reality,https://www.coursera.org/specializations/virtual-reality
create advocacy material,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create animated narratives,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create cadastral maps,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create concept of digital game,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
create crop protection plans,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create data models,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
create data sets,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
create database diagrams,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
create digital content,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
create digital files,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
create digital game characters,Game Design: Art and Concepts,https://www.coursera.org/specializations/game-design
create digital images,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
create freight rate databases,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create game testing software,Software Testing and Automation,https://www.coursera.org/specializations/software-testing-automation
create infrared imagery,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create moving images,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create online news content,Adobe Content Creator,https://www.coursera.org/professional-certificates/adobe-content-creator
create prototype of user experience solutions,User Experience Research and Design,https://www.coursera.org/specializations/michiganux
create risk maps,Risk Management,https://www.coursera.org/specializations/risk-management
create software design,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
create soil and plant improvement programmes,Understanding Plants - Part I: What a Plant Knows,https://www.coursera.org/learn/plantknows
create thematic maps,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create weather maps,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
create website wireframe,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
creatively use digital technologies,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
crop production principles,Project Management Principles and Practices,https://www.coursera.org/specializations/project-management
crowdfunding,Crowdfunding,https://www.coursera.org/learn/wharton-crowdfunding
cryptocurrency,Bitcoin and Cryptocurrency Technologies,https://www.coursera.org/learn/cryptocurrency
cultivate crops for biomass,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
customise software for drive system,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
cut raw footage digitally,Mastering Final Cut Pro,https://www.coursera.org/learn/mastering-final-cut-pro
cutting technologies,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
cyber attack counter-measures,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
cyber security,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
cybernetics,Digital Manufacturing & Design Technology,https://www.coursera.org/specializations/digital-manufacturing-design-technology
data analytics,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data engineering,IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer
data extraction,Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python
data mining,Data Mining,https://www.coursera.org/specializations/data-mining
data mining methods,Data Mining Methods,https://www.coursera.org/learn/data-mining-methods
data models,The Path to Insights: Data Models and Pipelines,https://www.coursera.org/learn/the-path-to-insights-data-models-and-pipelines
data protection,Privacy Law and Data Protection,https://www.coursera.org/learn/privacy-law-data-protection
data quality assessment,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data science,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science
data security principles,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data storage,Data Storage and Queries,https://www.coursera.org/learn/data-storage-and-queries
data visualisation software,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data warehouse,Data Warehouse Fundamentals,https://www.coursera.org/learn/data-warehouse-fundamentals
database,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
database development tools,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
database management systems,Database Management Essentials,https://www.coursera.org/learn/database-management
database quality standards,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
debug software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
decentralised identifiers,Blockchain,https://www.coursera.org/specializations/blockchain
decentralized application frameworks,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
decision support systems,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
decontamination techniques,Deep Learning,https://www.coursera.org/specializations/deep-learning
define ICT network design policies,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
define celestial bodies,IBM Product Manager,https://www.coursera.org/professional-certificates/ibm-product-manager
define database physical structure,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
define firewall rules,Fortinet Network Security,https://www.coursera.org/specializations/fortinet-network-security
define integration strategy,Business Strategy,https://www.coursera.org/specializations/business-strategy
define roadmap for blockchain in applications,Blockchain,https://www.coursera.org/specializations/blockchain
define software architecture,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
deliver online training,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
deliver visual presentation of data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
demonstrate functionality of software products,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
deploy ICT systems,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
deploy cloud resource,Security in Google Cloud,https://www.coursera.org/specializations/security-google-cloud-platform
describe electric drive system,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
design ICT hardware placement,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design a combined heat and power system,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design a domotic system in buildings,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
design a media integration system,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design a mini wind power system,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design a solar absorption cooling system,Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics
design a solar heating system,Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics
design an artificial lighting system,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design an electric heating system,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design application interfaces,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design automation components,Google IT Automation with Python,https://www.coursera.org/professional-certificates/google-it-automation
design biomass installations,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design brand's online communication plan,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design building air tightness,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design building envelope systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design building retrofitting solutions,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design chassis,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design circuit boards,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design circuits using CAD,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design cloud architecture,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
design cloud networks,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design component interfaces,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design computer network,Interaction Design,https://www.coursera.org/specializations/interaction-design
design control systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design database backup specifications,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design database in the cloud,Google Cloud Database Engineer,https://www.coursera.org/specializations/google-cloud-database-engineer
design database scheme,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design district heating and cooling energy systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design dolls,Graphic Design,https://www.coursera.org/specializations/graphic-design
design drainage well systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design electrical systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design electromechanical systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design electronic systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design failover solutions,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design firmware,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design for organisational complexity,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design geothermal energy systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design hardware,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design heat pump installations,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design hybrid operating strategies,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design indicators for food waste reduction,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design information system,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
design infrastructure for surface mines,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design interaction model,Interaction Design,https://www.coursera.org/specializations/interaction-design
design microclimates in buildings,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design microelectromechanical systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design offshore energy systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design optical prototypes,Optical Engineering,https://www.coursera.org/specializations/optical-engineering
design passive energy measures,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design pharmaceutical manufacturing systems,Digital Manufacturing & Design Technology,https://www.coursera.org/specializations/digital-manufacturing-design-technology
design power electronics,Power Electronics,https://www.coursera.org/specializations/power-electronics
design process,"Start the UX Design Process: Empathize, Define, and Ideate",https://www.coursera.org/learn/start-ux-design-process
design process for blockchain-based systems,Blockchain,https://www.coursera.org/specializations/blockchain
design sensors,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design smart grids,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design solar energy systems,Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics
design the digital interface of gambling,Graphic Design,https://www.coursera.org/specializations/graphic-design
design the insulation concept,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design thermal equipment,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design user interface,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design ventilation network,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design web-based courses,Web Design for Everybody: Basics of Web Development & Coding,https://www.coursera.org/specializations/web-design
design wind farm collector systems,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design wind turbines,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design window and glazing systems,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
desktop publishing,Self Publish Your Book on Amazon Kindle Direct Publishing,https://www.coursera.org/projects/self-publish-your-book-on-amazon-kindle-direct-publishing
determine appropriate heating and cooling system,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
determine historic climate changes,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
determine internal air quality parameters,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
develop ICT device driver,Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business
develop ICT safety information,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
develop ICT test suite,Getting started with Google Workspace,https://www.coursera.org/specializations/getting-started-with-google-workspace
develop ICT workflow,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science
develop agricultural policies,Sustainable Agricultural Land Management,https://www.coursera.org/learn/sustainable-agriculture
develop animations,Meta React Native,https://www.coursera.org/specializations/meta-react-native
develop automated migration methods,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
develop automated software tests,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
develop biocatalytic processes,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science
develop bioremediation techniques,Deep Learning,https://www.coursera.org/specializations/deep-learning
develop blockchain innovative architectures,Blockchain,https://www.coursera.org/specializations/blockchain
develop blockchain technology,Blockchain,https://www.coursera.org/specializations/blockchain
develop code exploits,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
develop computer vision system,Computer Vision for Engineering and Science,https://www.coursera.org/specializations/computer-vision
develop data link services for navigation purposes,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
develop data processing applications,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
develop design plans,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
develop digital content,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
develop digital educational materials,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
develop e-learning plan,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
develop efficiency plans for logistics operations,Supply Chain Management,https://www.coursera.org/specializations/supply-chain-management
develop energy policy,Renewable Energy,https://www.coursera.org/specializations/renewable-energy
develop energy saving concepts,Renewable Energy,https://www.coursera.org/specializations/renewable-energy
develop environmental policy,Introduction to Environmental Law and Policy,https://www.coursera.org/learn/environmental-law
develop environmental remediation strategies,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
develop fish health and welfare management plans,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
develop flood remediation strategies,Deep Learning,https://www.coursera.org/specializations/deep-learning
develop food policy,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
develop food scanner devices,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
develop food waste reduction strategies,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
develop forestry strategies,Deep Learning,https://www.coursera.org/specializations/deep-learning
develop geological databases,Introduction to Relational Databases (RDBMS),https://www.coursera.org/learn/introduction-to-relational-databases
develop green compounding solutions,Six Sigma Green Belt,https://www.coursera.org/specializations/six-sigma-green-belt
develop inclusive communication material,"Effective Communication: Writing, Design, and Presentation",https://www.coursera.org/specializations/effective-business-communication
develop irrigation strategies,Deep Learning,https://www.coursera.org/specializations/deep-learning
develop management plans,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
develop natural areas works programmes,Natural Language Processing,https://www.coursera.org/specializations/natural-language-processing
develop online community plan,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
develop online sales business plan,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
develop recycling programs,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
develop reporting software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
develop shipping itineraries,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science
develop site remediation strategies,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
develop software prototype,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
develop statistical software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
develop translation memory software,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
develop virtual game engine,C++ Programming for Unreal Game Development,https://www.coursera.org/specializations/cplusplusunrealgamedevelopment
develop waste management processes,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
develop water purification methods,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
develop wildlife programs,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
develop with cloud services,Preparing for Google Cloud Certification: Cloud Developer,https://www.coursera.org/professional-certificates/google-cloud-developer
digital arts,Create and Design Digital Products using Canva,https://www.coursera.org/projects/create-design-digital-products-canva
digital camera sensors,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital communication and collaboration,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital compositing,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital content creation,Leveraging AI for Enhanced Content Creation,https://www.coursera.org/learn/leveraging-ai-for-enhanced-content-creation
digital curation,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital data processing,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
digital game creation systems,Game Design: Art and Concepts,https://www.coursera.org/specializations/game-design
digital game genres,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital identity management,Digital Product Management,https://www.coursera.org/specializations/uva-darden-digital-product-management
digital image processing,Fundamentals of Digital Image and Video Processing,https://www.coursera.org/learn/digital
digital journalism,Become a Journalist: Report the News!,https://www.coursera.org/specializations/become-a-journalist
digital marketing techniques,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital media,Digital Media and Marketing Strategies,https://www.coursera.org/learn/marketing-plan
digital printing,Create and Design Digital Products using Canva,https://www.coursera.org/projects/create-design-digital-products-canva
digital systems,Digital Systems: From Logic Gates to Processors,https://www.coursera.org/learn/digital-systems
digital twin technology,Digital Twins,https://www.coursera.org/learn/digital-twins
digitise documents,Microsoft 365 Fundamentals,https://www.coursera.org/specializations/microsoft-365-fundamentals
digitization,Introduction to Digital Transformation,https://www.coursera.org/learn/digital-transformation-course
disassemble mobile devices,Meta React Native,https://www.coursera.org/specializations/meta-react-native
discharge of collected waste,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
dismantle broken appliances,System Administration and IT Infrastructure Services,https://www.coursera.org/learn/system-administration-it-infrastructure-services
dispose food waste,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
dispose medical waste,Medical Terminology,https://www.coursera.org/specializations/medicalterminology
dispose non-food waste within the food industry,Food & Beverage Management,https://www.coursera.org/learn/food-beverage-management
dispose of chemicals,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
dispose of hazardous waste,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
dispose of non-hazardous waste,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
dispose of sewage sludge,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
dispose of soldering waste,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
